//first line
0,YOU ARE SITTING IN FRONT OF A COMPUTER LEARNING JAVA.
16,THE CRACK IS FAR TOO SMALL FOR YOU TO FOLLOW.
Q,0
E,14
17,YOU ARE ON THE EAST BANK OF A FISSURE SLICING CLEAR ACROSS THE HALL. THE MIST IS QUITE THICK HERE, AND THE FISSURE IS TOO WIDE TO JUMP.
Q,0
E,15
18,THIS IS A LOW ROOM WITH A CRUDE NOTE ON THE WALL. THE NOTE SAYS, "YOU WON'T GET IT UP THE STEPS".
Q,0
N,15
19,YOU ARE IN THE HALL OF THE MOUNTAIN KING, WITH PASSAGES OFF IN ALL DIRECTIONS.
Q,0
U,15
E,15
N,32
20,YOU ARE AT THE BOTTOM OF THE PIT WITH A BROKEN NECK.
Q,0
21,YOU DIDN'T MAKE IT.
Q,0
22,THE DOME IS UNCLIMBABLE.
Q,0
23,YOU ARE AT THE WEST END OF THE TWOPIT ROOM. THERE IS A LARGE HOLE IN THE WALL ABOVE THE PIT AT THIS END OF THE ROOM.
Q,0
E,67
W,68
D,25
24,YOU ARE AT THE BOTTOM OF THE EASTERN PIT IN THE TWOPIT ROOM. THERE IS A SMALL POOL OF OIL IN ONE CORNER OF THE PIT.
Q,0
U,67
25,YOU ARE AT THE BOTTOM OF THE WESTERN PIT IN THE TWOPIT ROOM. THERE IS A LARGE HOLE IN THE WALL ABOUT 25 FEET ABOVE YOU.
Q,0
U,23
26,YOU CLAMBER UP THE PLANT AND SCURRY THROUGH THE HOLE AT THE TOP.
Q,0
27,YOU ARE ON THE WEST SIDE OF THE FISSURE IN THE HALL OF MISTS.
Q,0
N,40
W,41
28,YOU ARE IN A LOW N/S PASSAGE AT A HOLE IN THE FLOOR. THE HOLE GOES DOWN TO AN E/W PASSAGE.
Q,0
S,19
N,33
D,36
29,YOU ARE IN THE SOUTH SIDE CHAMBER.
Q,0
N,19
30,YOU ARE IN THE WEST SIDE CHAMBER OF THE HALL OF THE MOUNTAIN KING. A PASSAGE CONTINUES WEST AND UP HERE.
Q,0
E,19
W,62
U,62
31,>$<
Q,0
32,YOU CAN'T GET BY THE SNAKE.
Q,0
33,YOU ARE IN A LARGE ROOM, WITH A PASSAGE TO THE SOUTH, A PASSAGE TO THE WEST, AND A WALL OF BROKEN ROCK TO THE EAST. THERE IS A LARGE 'Y2' ON A ROCK IN THE ROOM'S CENTER.
Q,0
S,28
E,34
W,35
34,YOU ARE IN A JUMBLE OF ROCK, WITH CRACKS EVERYWHERE.
Q,0
D,33
U,15
35,YOU'RE AT A LOW WINDOW OVERLOOKING A HUGE PIT, WHICH EXTENDS UP OUT OF SIGHT. A FLOOR IS INDISTINCTLY VISIBLE OVER 50 FEET BELOW. TRACES OF WHITE MIST COVER THE FLOOR OF THE PIT, BECOMING THICKER TO THE RIGHT. MARKS IN THE DUST AROUND THE WINDOW WOULD SEEM TO INDICATE THAT SOMEONE HAS BEEN HERE RECENTLY. DIRECTLY ACROSS THE PIT FROM YOU AND 25 FEET AWAY THERE IS A SIMILAR WINDOW LOOKING INTO A LIGHTED ROOM. A SHADOWY FIGURE CAN BE SEEN THERE PEERING BACK AT YOU.
Q,0
E,33
36,YOU ARE IN A DIRTY BROKEN PASSAGE. TO THE EAST IS A CRAWL. TO THE WEST IS A LARGE PASSAGE. ABOVE YOU IS A HOLE TO ANOTHER PASSAGE.
Q,0
E,37
U,28
W,39
37,YOU ARE ON THE BRINK OF A SMALL CLEAN CLIMBABLE PIT. A CRAWL LEADS WEST.
Q,0
W,36
D,38
38,YOU ARE IN THE BOTTOM OF A SMALL PIT WITH A LITTLE STREAM, WHICH ENTERS AND EXITS THROUGH TINY SLITS.
Q,0
U,37
39,YOU ARE IN A LARGE ROOM FULL OF DUSTY ROCKS. THERE IS A BIG HOLE IN THE FLOOR. THERE ARE CRACKS EVERYWHERE, AND A PASSAGE LEADING EAST.
Q,0
E,36
D,64
40,YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH OF THE HALL OF MISTS.
Q,0
41,YOU ARE AT THE WEST END OF HALL OF MISTS. A LOW WIDE CRAWL CONTINUES WEST AND ANOTHER GOES NORTH. TO THE SOUTH IS A LITTLE PASSAGE 6 FEET OFF THE FLOOR.
Q,0
S,42
U,42
E,27
N,59
W,60
42,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
U,41
N,42
E,43
S,45
W,80
43,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,42
S,44
E,45
44,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
E,43
D,48
S,50
N,82
45,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,42
N,43
E,46
S,47
U,87
D,87
46,DEAD END
Q,0
W,45
47,DEAD END
Q,0
E,45
48,DEAD END
Q,0
U,44
49,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
E,50
W,51
50,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
E,44
W,49
D,51
S,52
51,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,49
U,50
E,52
S,53
52,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,50
E,51
S,52
U,53
N,55
D,86
53,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,51
N,52
S,54
54,DEAD END
Q,0
W,53
55,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
W,52
N,55
D,56
E,57
56,DEAD END
Q,0
U,55
57,YOU ARE ON THE BRINK OF A THIRTY FOOT PIT WITH A MASSIVE ORANGE COLUMN DOWN ONE WALL. YOU COULD CLIMB DOWN HERE BUT YOU COULD NOT GET BACK UP. THE MAZE CONTINUES AT THIS LEVEL.
Q,0
D,13
W,55
S,58
N,83
E,84
58,DEAD END
Q,0
E,57
59,YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH OF THE HALL OF MISTS.
Q,0
60,YOU ARE AT THE EAST END OF A VERY LONG HALL APPARENTLY WITHOUT SIDE CHAMBERS. TO THE EAST A LOW WIDE CRAWL SLANTS UP. TO THE NORTH A ROUND TWO FOOT HOLE SLANTS DOWN.
Q,0
E,41
U,41
W,61
N,62
D,62
61,YOU ARE AT THE WEST END OF A VERY LONG FEATURELESS HALL. THE HALL JOINS UP WITH A NARROW NORTH/SOUTH PASSAGE.
Q,0
E,60
N,62
62,YOU ARE AT A CROSSOVER OF A HIGH N/S PASSAGE AND A LOW E/W ONE.
Q,0
W,60
N,63
E,30
S,61
63,DEAD END
Q,0
S,62
64,YOU ARE AT A COMPLEX JUNCTION. A LOW HANDS AND KNEES PASSAGE FROM THE NORTH JOINS A HIGHER CRAWL FROM THE EAST TO MAKE A WALKING PASSAGE GOING WEST. THERE IS ALSO A LARGE ROOM ABOVE. THE AIR IS DAMP HERE.
Q,0
U,39
W,65
N,103
E,106
65,YOU ARE IN BEDQUILT, A LONG EAST/WEST PASSAGE WITH HOLES EVERYWHERE. TO EXPLORE AT RANDOM SELECT NORTH, SOUTH, UP, OR DOWN.
Q,0
E,64
W,66
U,39
N,71
D,106
66,YOU ARE IN A ROOM WHOSE WALLS RESEMBLE SWISS CHEESE. OBVIOUS PASSAGES GO WEST, EAST, NE, AND NW. PART OF THE ROOM IS OCCUPIED BY A LARGE BEDROCK BLOCK.
Q,0
NE,65
W,67
E,96
67,YOU ARE AT THE EAST END OF THE TWOPIT ROOM. THE FLOOR HERE IS LITTERED WITH THIN ROCK SLABS, WHICH MAKE IT EASY TO DESCEND THE PITS. THERE IS A PATH HERE BYPASSING THE PITS TO CONNECT PASSAGES FROM EAST AND WEST. THERE ARE HOLES ALL OVER, BUT THE ONLY BIG ONE IS ON THE WALL DIRECTLY OVER THE WEST PIT WHERE YOU CAN'T GET TO IT.
Q,0
E,66
W,23
D,24
68,YOU ARE IN A LARGE LOW CIRCULAR CHAMBER WHOSE FLOOR IS AN IMMENSE SLAB FALLEN FROM THE CEILING (SLAB ROOM). EAST AND WEST THERE ONCE WERE LARGE PASSAGES, BUT THEY ARE NOW FILLED WITH BOULDERS. LOW SMALL PASSAGES GO NORTH AND SOUTH, AND THE SOUTH ONE QUICKLY BENDS WEST AROUND THE BOULDERS.
Q,0
S,23
U,69
N,65
69,YOU ARE IN A SECRET N/S CANYON ABOVE A LARGE ROOM.
Q,0
D,68
S,119
N,109
70,YOU ARE IN A SECRET N/S CANYON ABOVE A SIZABLE PASSAGE.
Q,0
N,71
D,65
S,111
71,YOU ARE IN A SECRET CANYON AT A JUNCTION OF THREE CANYONS, BEARING NORTH, SOUTH, AND SE. THE NORTH ONE IS AS TALL AS THE OTHER TWO COMBINED.
Q,0
SE,65
S,70
N,110
72,YOU ARE IN A LARGE LOW ROOM. CRAWLS LEAD NORTH, SE, AND SW.
Q,0
SW,118
N,73
SE,97
73,DEAD END CRAWL.
Q,0
S,72
74,YOU ARE IN A SECRET CANYON WHICH HERE RUNS E/W. IT CROSSES OVER A VERY TIGHT CANYON 15 FEET BELOW. IF YOU GO DOWN YOU MAY NOT BE ABLE TO GET BACK UP.
Q,0
E,19
W,121
D,75
75,YOU ARE AT A WIDE PLACE IN A VERY TIGHT N/S CANYON.
Q,0
S,76
N,77
76,THE CANYON HERE BECOMES TOO TIGHT TO GO FURTHER SOUTH.
Q,0
N,75
77,YOU ARE IN A TALL E/W CANYON. A LOW TIGHT CRAWL GOES 3 FEET NORTH AND SEEMS TO OPEN UP.
Q,0
E,75
W,78
N,66
78,THE CANYON RUNS INTO A MASS OF BOULDERS -- DEAD END.
Q,0
S,77
79,THE STREAM FLOWS OUT THROUGH A PAIR OF 1 FOOT DIAMETER SEWER PIPES. IT WOULD BE ADVISABLE TO USE THE EXIT.
Q,0
80,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
N,42
W,80
S,80
E,81
81,DEAD END
Q,0
W,80
82,DEAD END
Q,0
S,44
83,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
S,57
E,84
W,85
84,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
N,57
W,83
NW,114
85,DEAD END
Q,0
E,83
86,DEAD END
Q,0
U,52
87,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
Q,0
U,45
D,45
88,YOU ARE IN A LONG, NARROW CORRIDOR STRETCHING OUT OF SIGHT TO THE WEST. AT THE EASTERN END IS A HOLE THROUGH WHICH YOU CAN SEE A PROFUSION OF LEAVES.
Q,0
D,25
E,25
W,92
89,THERE IS NOTHING HERE TO CLIMB. USE "UP" OR "OUT" TO LEAVE THE PIT.
Q,0
90,YOU HAVE CLIMBED UP THE PLANT AND OUT OF THE PIT.
Q,0
91,YOU ARE AT THE TOP OF A STEEP INCLINE ABOVE A LARGE ROOM. YOU COULD CLIMB DOWN HERE, BUT YOU WOULD NOT BE ABLE TO CLIMB UP. THERE IS A PASSAGE LEADING BACK TO THE NORTH.
Q,0
N,95
D,72
92,YOU ARE IN THE GIANT ROOM. THE CEILING HERE IS TOO HIGH UP FOR YOUR LAMP TO SHOW IT. CAVERNOUS PASSAGES LEAD EAST, NORTH, AND SOUTH. ON THE WEST WALL IS SCRAWLED THE INSCRIPTION, "FEE FIE FOE FOO" [SIC].
Q,0
S,88
E,93
N,94
93,THE PASSAGE HERE IS BLOCKED BY A RECENT CAVE-IN.
Q,0
S,92
94,YOU ARE AT ONE END OF AN IMMENSE NORTH/SOUTH PASSAGE.
Q,0
S,92
95,YOU ARE IN A MAGNIFICENT CAVERN WITH A RUSHING STREAM, WHICH CASCADES OVER A SPARKLING WATERFALL INTO A ROARING WHIRLPOOL WHICH DISAPPEARS THROUGH A HOLE IN THE FLOOR. PASSAGES EXIT TO THE SOUTH AND WEST.
Q,0
S,94
W,91
96,YOU ARE IN THE SOFT ROOM. THE WALLS ARE COVERED WITH HEAVY CURTAINS, THE FLOOR WITH A THICK PILE CARPET. MOSS COVERS THE CEILING.
Q,0
W,66
97,THIS IS THE ORIENTAL ROOM. ANCIENT ORIENTAL CAVE DRAWINGS COVER THE WALLS. A GENTLY SLOPING PASSAGE LEADS UPWARD TO THE NORTH, ANOTHER PASSAGE LEADS SE, AND A HANDS AND KNEES CRAWL LEADS WEST.
Q,0
SE,66
W,72
U,98
N,98
98,YOU ARE FOLLOWING A WIDE PATH AROUND THE OUTER EDGE OF A LARGE CAVERN. FAR BELOW, THROUGH A HEAVY WHITE MIST, STRANGE SPLASHING NOISES CAN BE HEARD. THE MIST RISES UP THROUGH A FISSURE IN THE CEILING. THE PATH EXITS TO THE SOUTH AND WEST.
Q,0
S,97
W,99
99,YOU ARE IN AN ALCOVE. A SMALL NW PATH SEEMS TO WIDEN AFTER A SHORT DISTANCE. AN EXTREMELY TIGHT TUNNEL LEADS EAST. IT LOOKS LIKE A VERY TIGHT SQUEEZE. AN EERIE LIGHT CAN BE SEEN AT THE OTHER END.
Q,0
NW,98
E,100
100,YOU ARE IN A SMALL CHAMBER LIT BY AN EERIE GREEN LIGHT. AN EXTREMELY NARROW TUNNEL EXITS TO THE WEST. A DARK CORRIDOR LEADS NE.
Q,0
W,99
NE,101
101,YOU ARE IN THE DARK-ROOM. A CORRIDOR LEADING SOUTH IS THE ONLY EXIT.
Q,0
S,100
102,YOU ARE IN AN ARCHED HALL. A CORAL PASSAGE ONCE CONTINUED UP AND EAST FROM HERE, BUT IS NOW BLOCKED BY DEBRIS. THE AIR SMELLS OF SEA WATER.
Q,0
D,103
103,YOU ARE IN A LARGE ROOM CARVED OUT OF SEDIMENTARY ROCK. THE FLOOR AND WALLS ARE LITTERED WITH BITS OF SHELLS IMBEDDED IN THE STONE. A SHALLOW PASSAGE PROCEEDS DOWNWARD, AND A SOMEWHAT STEEPER ONE LEADSUP. A LOW HANDS AND KNEES PASSAGE ENTERS FROM THE SOUTH.
Q,0
U,102
D,104
S,64
104,YOU ARE IN A LONG SLOPING CORRIDOR WITH RAGGED SHARP WALLS.
Q,0
U,103
D,105
105,YOU ARE IN A CUL-DE-SAC ABOUT EIGHT FEET ACROSS.
Q,0
U,104
106,YOU ARE IN AN ANTEROOM LEADING TO A LARGE PASSAGE TO THE EAST. SMALL PASSAGES GO WEST AND UP. THE REMNANTS OF RECENT DIGGING ARE EVIDENT. A SIGN IN MIDAIR HERE SAYS "CAVE UNDER CONSTRUCTION BEYOND THIS POINT. PROCEED AT OWN RISK. [WITT CONSTRUCTION COMPANY]"
Q,0
U,64
W,65
E,108
107,YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL DIFFERENT.
Q,0
S,131
SW,132
NE,133
SE,134
U,135
NW,136
E,137
W,138
N,139
D,61
108,YOU ARE AT WITT'S END. PASSAGES LEAD OFF IN *ALL* DIRECTIONS.
Q,0
E,106
109,YOU ARE IN A NORTH/SOUTH CANYON ABOUT 25 FEET ACROSS. THE FLOOR IS COVERED BY WHITE MIST SEEPING IN FROM THE NORTH. THE WALLS EXTEND UPWARD FOR WELL OVER 100 FEET. SUSPENDED FROM SOME UNSEEN POINT FAR ABOVE YOU, AN ENORMOUS TWO-SIDED MIRROR IS HANGING PARALLEL TO AND MIDWAY BETWEEN THE CANYON WALLS. (THE MIRROR IS OBVIOUSLY PROVIDED FOR THE USE OF THE DWARVES, WHO AS YOU KNOW, ARE EXTREMELY VAIN.) A SMALL WINDOW CAN BE SEEN IN EITHER WALL, SOME FIFTY FEET UP.
Q,0
S,69
N,113
110,YOU ARE AT A LOW WINDOW OVERLOOKING A HUGE PIT, WHICH EXTENDS UP OUT OF SIGHT. A FLOOR IS INDISTINCTLY VISIBLE OVER 50 FEET BELOW. TRACES OF WHITE MIST COVER THE FLOOR OF THE PIT, BECOMING THICKER TO THE LEFT. MARKS IN THE DUST AROUND THE WINDOW WOULD SEEM TO INDICATE THAT SOMEONE HAS BEEN HERE RECENTLY. DIRECTLY ACROSS THE PIT FROM YOU AND 25 FEET AWAY THERE IS A SIMILAR WINDOW LOOKING INTO A LIGHTED ROOM. A SHADOWY FIGURE CAN BE SEEN THERE PEERING BACK AT YOU.
Q,0
W,71
111,A LARGE STALACTITE EXTENDS FROM THE ROOF AND ALMOST REACHES THE FLOOR BELOW. YOU COULD CLIMB DOWN IT, AND JUMP FROM IT TO THE FLOOR, BUT HAVING DONE SO YOU WOULD BE UNABLE TO REACH IT TO CLIMB BACK UP.
Q,0
N,70
D,45
112,YOU ARE IN A LITTLE MAZE OF TWISTING PASSAGES, ALL DIFFERENT.
Q,0
SW,131
N,132
E,133
NW,134
SE,135
NE,136
W,137
D,138
U,139
S,140
113,YOU ARE AT THE EDGE OF A LARGE UNDERGROUND RESERVOIR. AN OPAQUE CLOUD OF WHITE MIST FILLS THE ROOM AND RISES RAPIDLY UPWARD. THE LAKE IS FED BY A STREAM, WHICH TUMBLES OUT OF A HOLE IN THE WALL ABOUT 10 FEET OVERHEAD AND SPLASHES NOISILY INTO THE WATER SOMEWHERE WITHIN THE MIST. THE ONLY PASSAGE GOES BACK TOWARD THE SOUTH.
Q,0
S,109
114,DEAD END
Q,0
SE,84
115,YOU ARE AT THE NORTHEAST END OF AN IMMENSE ROOM, EVEN LARGER THAN THE GIANT ROOM. IT APPEARS TO BE A REPOSITORY FOR THE "ADVENTURE" PROGRAM. MASSIVE TORCHES FAR OVERHEAD BATHE THE ROOM WITH SMOKY YELLOW LIGHT. SCATTERED ABOUT YOU CAN BE SEEN A PILE OF BOTTLES (ALL OF THEM EMPTY), A NURSERY OF YOUNG BEANSTALKS MURMURING QUIETLY, A BED OF OYSTERS, A BUNDLE OF BLACK RODS WITH RUSTY STARS ON THEIR ENDS, AND A COLLECTION OF BRASS LANTERNS. OFF TO ONE SIDE A GREAT MANY DWARVES ARE SLEEPING ON THE FLOOR, SNORING LOUDLY. A SIGN NEARBY READS: "DO NOT DISTURB THE DWARVES!" AN IMMENSE MIRROR IS HANGING AGAINST ONE WALL, AND STRETCHES TO THE OTHER END OF THE ROOM, WHERE VARIOUS OTHER SUNDRY OBJECTS CAN BE GLIMPSED DIMLY IN THE DISTANCE.
Q,0
SW,116
116,YOU ARE AT THE SOUTHWEST END OF THE REPOSITORY. TO ONE SIDE IS A PIT FULL OF FIERCE GREEN SNAKES. ON THE OTHER SIDE IS A ROW OF SMALL WICKER CAGES, EACH OF WHICH CONTAINS A LITTLE SULKING BIRD. IN ONE CORNER IS A BUNDLE OF BLACK RODS WITH RUSTY MARKS ON THEIR ENDS. A LARGE NUMBER OF VELVET PILLOWS ARE SCATTERED ABOUT ON THE FLOOR. A VAST MIRROR STRETCHES OFF TO THE NORTHEAST. AT YOUR FEET IS A LARGE STEEL GRATE, NEXT TO WHICH IS A SIGN WHICH READS, "TREASURE VAULT. KEYS IN MAIN OFFICE."
Q,0
NE,115
117,YOU ARE ON ONE SIDE OF A LARGE, DEEP CHASM. A HEAVY WHITE MIST RISING UP FROM BELOW OBSCURES ALL VIEW OF THE FAR SIDE. A SW PATH LEADS AWAY FROM THE CHASM INTO A WINDING CORRIDOR.
Q,0
SW,118
118,YOU ARE IN A LONG WINDING CORRIDOR SLOPING OUT OF SIGHT IN BOTH DIRECTIONS.
Q,0
D,72
U,117
119,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.
Q,0
N,69
120,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.
Q,0
N,69
E,74
121,YOU ARE IN A SECRET CANYON WHICH EXITS TO THE NORTH AND EAST.
Q,0
E,74
122,YOU ARE ON THE FAR SIDE OF THE CHASM. A NE PATH LEADS AWAY FROM THE CHASM ON THIS SIDE.
Q,0
NE,123
123,YOU ARE IN A LONG EAST/WEST CORRIDOR. A FAINT RUMBLING NOISE CAN BE HEARD IN THE DISTANCE.
Q,0
W,122
E,124
124,THE PATH FORKS HERE. THE LEFT FORK LEADS NORTHEAST. A DULL RUMBLING SEEMS TO GET LOUDER IN THAT DIRECTION. THE RIGHT FORK LEADS SOUTHEAST DOWN A GENTLE SLOPE. THE MAIN CORRIDOR ENTERS FROM THE WEST.
Q,0
W,123
NE,125
SE,128
D,128
125,THE WALLS ARE QUITE WARM HERE. FROM THE NORTH CAN BE HEARD A STEADY ROAR, SO LOUD THAT THE ENTIRE CAVE SEEMS TO BE TREMBLING. ANOTHER PASSAGE LEADS SOUTH, AND A LOW CRAWL GOES EAST.
Q,0
S,124
N,126
E,127
126,YOU ARE ON THE EDGE OF A BREATH-TAKING VIEW. FAR BELOW YOU IS AN ACTIVE VOLCANO, FROM WHICH GREAT GOUTS OF MOLTEN LAVA COME SURGING OUT, CASCADING BACK DOWN INTO THE DEPTHS. THE GLOWING ROCK FILLS THE FARTHEST REACHES OF THE CAVERN WITH A BLOOD-RED GLARE, GIVING EVERY- THING AN EERIE, MACABRE APPEARANCE. THE AIR IS FILLED WITH FLICKERING SPARKS OF ASH AND A HEAVY SMELL OF BRIMSTONE. THE WALLS ARE HOT TO THE TOUCH, AND THE THUNDERING OF THE VOLCANO DROWNS OUT ALL OTHER SOUNDS. EMBEDDED IN THE JAGGED ROOF FAR OVERHEAD ARE MYRIAD TWISTED FORMATIONS COMPOSED OF PURE WHITE ALABASTER, WHICH SCATTER THE MURKY LIGHT INTO SINISTER APPARITIONS UPON THE WALLS. TO ONE SIDE IS A DEEP GORGE, FILLED WITH A BIZARRE CHAOS OF TORTURED ROCK WHICH SEEMS TO HAVE BEEN CRAFTED BY THE DEVIL HIMSELF. AN IMMENSE RIVER OF FIRE CRASHES OUT FROM THE DEPTHS OF THE VOLCANO, BURNS ITS WAY THROUGH THE GORGE, AND PLUMMETS INTO A BOTTOMLESS PIT FAR OFF TO YOUR LEFT. TO THE RIGHT, AN IMMENSE GEYSER OF BLISTERING STEAM ERUPTS CONTINUOUSLY FROM A BARREN ISLAND IN THE CENTER OF A SULFUROUS LAKE, WHICH BUBBLES OMINOUSLY. THE FAR RIGHT WALL IS AFLAME WITH AN INCANDESCENCE OF ITS OWN, WHICH LENDS AN ADDITIONAL INFERNAL SPLENDOR TO THE ALREADY HELLISH SCENE. A DARK, FOREBODING PASSAGE EXITS TO THE SOUTH.
Q,0
S,125
127,YOU ARE IN A SMALL CHAMBER FILLED WITH LARGE BOULDERS. THE WALLS ARE VERY WARM, CAUSING THE AIR IN THE ROOM TO BE ALMOST STIFLING FROM THE HEAT. THE ONLY EXIT IS A CRAWL HEADING WEST, THROUGH WHICH IS COMING A LOW RUMBLING.
Q,0
W,125
128,YOU ARE WALKING ALONG A GENTLY SLOPING NORTH/SOUTH PASSAGE LINED WITH ODDLY SHAPED LIMESTONE FORMATIONS.
Q,0
N,124
U,124
S,129
D,129
129,YOU ARE STANDING AT THE ENTRANCE TO A LARGE, BARREN ROOM. A SIGN POSTED ABOVE THE ENTRANCE READS: "CAUTION! BEAR IN ROOM!"
Q,0
W,128
U,128
E,130
130,YOU ARE INSIDE A BARREN ROOM. THE CENTER OF THE ROOM IS COMPLETELY EMPTY EXCEPT FOR SOME DUST. MARKS IN THE DUST LEAD AWAY TOWARD THE FAR END OF THE ROOM. THE ONLY EXIT IS THE WAY YOU CAME IN.
Q,0
W,129
131,YOU ARE IN A MAZE OF TWISTING LITTLE PASSAGES, ALL DIFFERENT.
Q,0
W,107
SE,132
NW,133
SW,134
NE,135
U,136
D,137
N,138
S,139
E,112
132,YOU ARE IN A LITTLE MAZE OF TWISTY PASSAGES, ALL DIFFERENT.
Q,0
NW,107
U,131
N,133
S,134
W,135
SW,136
NE,137
E,138
D,139
SE,112
133,YOU ARE IN A TWISTING MAZE OF LITTLE PASSAGES, ALL DIFFERENT.
Q,0
U,107
D,131
W,132
NE,134
SW,135
E,136
N,137
NW,138
SE,139
S,112
134,YOU ARE IN A TWISTING LITTLE MAZE OF PASSAGES, ALL DIFFERENT.
Q,0
NE,107
N,131
NW,132
SE,133
E,135
D,136
S,137
U,138
W,139
SW,112
135,YOU ARE IN A TWISTY LITTLE MAZE OF PASSAGES, ALL DIFFERENT.
Q,0
N,107
SE,131
D,132
S,133
E,134
W,136
SW,137
NE,138
NW,139
